engine,asset_class,score_group,symbol,regime,timeframe_style,parameter_set,trade_count,pass_count,fail_count,win_rate,expectancy,max_drawdown,sqn,average_rr_achieved,level_mode,fallback_tp_applied,sample_size_warning,robust_rank_score,sample_period,split_label,parameter_variants_tested,threshold_candidate,threshold_filter_applied,raw_source_count,admitted_count,excluded_by_threshold_count,threshold_filter_reason,parameters
ENGINE_B,,,GBP/AUD,TRENDING,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-0.44,,,-0.44,,,True,-0.033,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,GBP/AUD,TRENDING,intraday,engine_b_fd521a89d4,1,0,1,0.0,-0.44,,,-0.44,,,True,-0.033,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,UK100,HH_HL,scalp,engine_b_f1b9d9cacf,1,0,1,0.0,-0.49,,,-0.49,,,True,-0.03675,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,UK100,HH_HL,scalp,engine_b_fd521a89d4,1,0,1,0.0,-0.49,,,-0.49,,,True,-0.03675,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,USD/INR,TRENDING,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-0.66,,,-0.66,,,True,-0.0495,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,USD/INR,TRENDING,intraday,engine_b_fd521a89d4,1,0,1,0.0,-0.66,,,-0.66,,,True,-0.0495,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,EUR/CHF,EXPANSION,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-0.83,,,-0.83,,,True,-0.06225,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,EUR/CHF,EXPANSION,intraday,engine_b_fd521a89d4,1,0,1,0.0,-0.83,,,-0.83,,,True,-0.06225,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,GBP/JPY,RANGING,intraday,engine_b_f1b9d9cacf,2,0,2,0.0,-0.49,,,-0.49,,,True,-0.0735,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,GBP/JPY,RANGING,intraday,engine_b_fd521a89d4,2,0,2,0.0,-0.49,,,-0.49,,,True,-0.0735,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,GBP/JPY,RANGING,swing,engine_b_f1b9d9cacf,2,0,2,0.0,-0.51,,,-0.51,,,True,-0.0765,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,GBP/JPY,RANGING,swing,engine_b_fd521a89d4,2,0,2,0.0,-0.51,,,-0.51,,,True,-0.0765,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,EUR/CHF,RANGING,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-1.05,,,-1.05,,,True,-0.07875,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,EUR/CHF,RANGING,intraday,engine_b_fd521a89d4,1,0,1,0.0,-1.05,,,-1.05,,,True,-0.07875,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,EUR/JPY,RANGING,scalp,engine_b_f1b9d9cacf,2,0,2,0.0,-0.96,,,-0.96,,,True,-0.144,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,EUR/JPY,RANGING,scalp,engine_b_fd521a89d4,2,0,2,0.0,-0.96,,,-0.96,,,True,-0.144,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,USD/JPY,RANGING,scalp,engine_b_f1b9d9cacf,4,0,4,0.0,-0.5,,,-0.5,,,True,-0.15,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,USD/SGD,TRENDING,intraday,engine_b_f1b9d9cacf,2,0,2,0.0,-1.0,,,-1.0,,,True,-0.15,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,USD/JPY,RANGING,scalp,engine_b_fd521a89d4,4,0,4,0.0,-0.5,,,-0.5,,,True,-0.15,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,USD/SGD,TRENDING,intraday,engine_b_fd521a89d4,2,0,2,0.0,-1.0,,,-1.0,,,True,-0.15,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
