run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source
run_20260427_163244,EUR/USD,forex,H4,volatility,bb_squeeze_breakout,confirm_ema=False|period=20|squeeze_pct=30,both,all,REJECT,27,0.370370,0.671400,-0.000535,-0.000535,-0.021084,-1.053175,-0.868045,0.027027,10.592593,-0.014479,-0.014479,-0.001986,-0.012517,0.302000,,,mt5
run_20260427_163244,EUR/USD,forex,H4,volatility,atr_compression,confirm_ema=True|period=14|squeeze_pct=20,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,mt5
run_20260427_163244,EUR/USD,forex,H4,volatility,atr_compression,confirm_ema=False|period=14|squeeze_pct=20,both,all,NEEDS_MORE_DATA,17,,,,,,,,,,,,,,1.000000,,only 17 trades < min 20,mt5
run_20260427_163244,EUR/USD,forex,H4,volatility,atr_compression,confirm_ema=True|period=14|squeeze_pct=30,both,all,REJECT,23,0.260870,0.504706,-0.001119,-0.001119,-0.034262,-1.435959,-1.203163,0.023023,18.739130,-0.025636,-0.025636,-0.016638,-0.009150,0.402981,,,mt5
run_20260427_163244,EUR/USD,forex,H4,volatility,atr_compression,confirm_ema=False|period=14|squeeze_pct=30,both,all,REJECT,26,0.269231,0.521792,-0.001005,-0.001005,-0.035011,-1.439250,-1.201713,0.026026,15.230769,-0.026033,-0.026033,-0.021470,-0.004663,0.321159,,,mt5
run_20260427_163244,XAU/USD,commodity,H4,volatility,bb_squeeze_breakout,confirm_ema=True|period=20|squeeze_pct=20,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,1.000000,,only 18 trades < min 20,mt5
run_20260427_163244,XAU/USD,commodity,H4,volatility,bb_squeeze_breakout,confirm_ema=False|period=20|squeeze_pct=20,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,1.000000,,only 18 trades < min 20,mt5
run_20260427_163244,XAU/USD,commodity,H4,volatility,bb_squeeze_breakout,confirm_ema=True|period=20|squeeze_pct=30,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,mt5
run_20260427_163244,XAU/USD,commodity,H4,volatility,bb_squeeze_breakout,confirm_ema=False|period=20|squeeze_pct=30,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,mt5
run_20260427_163244,XAU/USD,commodity,H4,volatility,atr_compression,confirm_ema=True|period=14|squeeze_pct=20,both,all,NEEDS_MORE_DATA,9,,,,,,,,,,,,,,1.000000,,only 9 trades < min 20,mt5
