run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=True|slow_period=200,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=False|slow_period=200,both,all,NEEDS_MORE_DATA,9,,,,,,,,,,,,,,,,only 9 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=True|slow_period=200,both,all,NEEDS_MORE_DATA,9,,,,,,,,,,,,,,,,only 9 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_alignment,adx_min=0|ema_long=200|ema_mid=50|ema_short=20,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,,,only 16 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_alignment,adx_min=20|ema_long=200|ema_mid=50|ema_short=20,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,,,only 16 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_alignment,adx_min=25|ema_long=200|ema_mid=50|ema_short=20,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,REJECT,79,0.278481,0.508355,-0.000995,-0.000995,-0.079110,-1.208566,-2.493226,0.079079,12.468354,-0.076120,-0.076120,-0.062547,-0.026186,0.525599,,
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,REJECT,78,0.282051,0.530619,-0.000922,-0.000922,-0.072888,-1.129008,-2.319441,0.078078,12.538462,-0.069878,-0.069878,-0.056213,-0.026186,0.539751,,
run_20260426_095404,GBP/USD,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,69,0.144928,0.288656,-0.001056,-0.001056,-0.070758,-1.814225,-3.981851,0.069069,6.724638,-0.070495,-0.070495,-0.044241,-0.027470,0.586277,,
run_20260426_095404,GBP/USD,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,62,0.161290,0.316565,-0.001037,-0.001037,-0.062910,-1.622374,-3.522066,0.062062,7.161290,-0.062458,-0.062458,-0.040117,-0.023275,0.574049,,
run_20260426_095404,GBP/USD,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,38,0.105263,0.350608,-0.001259,-0.001259,-0.057827,-1.161898,-2.489514,0.038038,12.736842,-0.046913,-0.046913,-0.033177,-0.014207,0.456469,,
run_20260426_095404,GBP/USD,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,28,0.142857,0.446784,-0.001151,-0.001151,-0.042992,-0.806071,-1.682807,0.028028,15.964286,-0.031906,-0.031906,-0.017953,-0.014207,0.505403,,
run_20260426_095404,GBP/USD,forex,H1,breakout,prev_day_hl,atr_expand_min=0.0,both,all,NEEDS_MORE_DATA,13,,,,,,,,,,,,,,,,only 13 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,breakout,prev_day_hl,atr_expand_min=0.5,both,all,NEEDS_MORE_DATA,13,,,,,,,,,,,,,,,,only 13 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,breakout,prev_day_hl,atr_expand_min=1.0,both,all,NEEDS_MORE_DATA,13,,,,,,,,,,,,,,,,only 13 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,REJECT,63,0.253968,0.501866,-0.001016,-0.001016,-0.064031,-1.073218,-2.214492,0.063063,15.507937,-0.062452,-0.062452,-0.050402,-0.028617,0.570334,,
run_20260426_095404,GBP/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,REJECT,62,0.258065,0.521252,-0.000956,-0.000956,-0.059534,-1.006051,-2.067911,0.062062,15.661290,-0.057948,-0.057948,-0.045840,-0.028617,0.587287,,
run_20260426_095404,GBP/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,REJECT,39,0.333333,0.483784,-0.001354,-0.001354,-0.054135,-0.906314,-1.882605,0.039039,24.487179,-0.051840,-0.051840,-0.034057,-0.033757,0.631350,,
run_20260426_095404,GBP/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,REJECT,38,0.342105,0.507505,-0.001264,-0.001264,-0.049591,-0.835600,-1.726194,0.038038,24.973684,-0.047285,-0.047285,-0.029417,-0.033757,0.583741,,
run_20260426_095404,GBP/USD,forex,H1,breakout,london_breakout,atr_expand_min=0.0|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,17,,,,,,,,,,,,,,,,only 17 trades < min 20
