engine,pair,direction,timestamp,score,resultR,exit_reason,SL,TP,MFE_R,MAE_R,session,regime,setup_type,failure_reason,top25_cutoff,current_threshold
Engine B,XAG/USD,LONG,2025-10-21,6.0,-1.01,SL,50.733714,56.212571,,,,ranging,naked,SL,6.0,
Engine B,XAG/USD,LONG,2025-11-13,6.0,-1.02,SL,52.071388,55.766223,,,,trending,naked,SL,6.0,
Engine B,XAG/USD,LONG,2025-11-14,6.0,-1.01,SL,51.477053,56.21811,,,,ranging,naked,SL,6.0,
Engine B,XAG/USD,LONG,2025-12-10,6.0,-0.01,BE,59.783764,64.947689,,,,trending,naked,BE,6.0,
Engine B,ETH/USDT,SHORT,2025-06-06,6.0,-1.03,SL,2497.559469,2229.2283,,,,ranging,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-06-22,6.0,-0.03,BE,2371.221089,2101.272833,,,,trending,naked,BE,6.0,
Engine B,ETH/USDT,SHORT,2025-06-24,6.0,-1.02,SL,2518.562795,2200.727329,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-07-09,6.75,-1.06,SL,2685.128072,2535.628416,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-08-18,6.0,-1.03,SL,4435.316716,3954.705557,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-09-25,7.75,-1.04,SL,4049.167818,3760.139848,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-10-30,6.0,-1.03,SL,3889.378156,3513.873689,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-11-21,7.0,-1.02,SL,2959.933138,2592.760949,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-12-01,6.0,-1.04,SL,2915.33772,2695.558462,,,,ranging,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2025-12-16,6.0,-1.03,SL,3041.245423,2739.549153,,,,ranging,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2026-01-26,6.0,-1.04,SL,2921.734896,2706.530207,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2026-02-23,6.0,-0.04,BE,1966.20889,1795.157739,,,,trending,naked,BE,6.0,
Engine B,ETH/USDT,SHORT,2026-03-27,6.2,-1.03,SL,2045.286982,1863.856037,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2026-03-29,6.8,-1.04,SL,2047.453313,1885.773374,,,,trending,naked,SL,6.0,
Engine B,ETH/USDT,SHORT,2026-03-30,6.0,-1.06,SL,2096.246145,1986.99771,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,SHORT,2025-08-26,6.8,-1.05,SL,112162.131065,106016.537871,,,,trending,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2025-08-29,7.0,-1.06,SL,111898.439694,106043.220612,,,,ranging,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2025-11-05,7.0,-1.04,SL,103222.795701,94521.197538,,,,trending,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2025-11-21,8.0,-1.03,SL,88708.999453,78641.415628,,,,trending,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2026-01-21,6.8,-1.06,SL,90768.87535,85987.249301,,,,trending,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2026-02-06,7.0,-1.02,SL,68760.834813,57343.030374,,,,trending,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2026-02-23,7.0,-1.04,SL,66124.978095,61374.035492,,,,ranging,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2026-04-29,7.0,-1.06,SL,77170.043071,73324.813858,,,,ranging,naked,SL,6.7,
Engine B,BTC/USDT,SHORT,2026-05-28,7.0,-0.59,TIMEOUT,74534.433871,70626.532257,,,,ranging,naked,TIMEOUT,6.7,
